puzzle_id,fen,solution_move,rating
rb01,2k5/1ppp4/8/8/8/8/8/R6K w - - 0 1,a1a8,700
rb02,3k4/2ppp3/8/8/8/8/8/R6K w - - 0 1,a1a8,830
rb03,4k3/3ppp2/8/8/8/8/8/R6K w - - 0 1,a1a8,960
rb04,5k2/4ppp1/8/8/8/8/8/R6K w - - 0 1,a1a8,1090
rb05,6k1/5ppp/8/8/8/8/8/R6K w - - 0 1,a1a8,1220
rb06,7k/5ppp/8/8/8/8/8/R6K w - - 0 1,a1a8,1350
qc01,7k/8/6QK/8/8/8/8/8 w - - 0 1,g6g7,1300
qc02,k7/8/KQ6/8/8/8/8/8 w - - 0 1,b6b7,1350
qc03,8/8/8/8/8/6QK/8/7k w - - 0 1,g3g2,1400
qc04,8/8/8/8/8/KQ6/8/k7 w - - 0 1,b3b2,1450
000rZ,2kr1b1r/p1p2pp1/2pqN3/7p/6n1/2NPB3/PPP2PPP/R2Q1RK1 b - - 0 13,d6h2,616
001gi,N6r/1p1k1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R b KQ - 0 18,a5c3,817
001pC,r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q2RK b - - 0 18,h3f2,848
004WZ,r6k/1b3pp1/p1q1pn1p/2p5/P1B5/1PN4Q/2P1RP1P/R5K1 b - - 0 26,c6h1,866
004yJ,r4rk1/1bp2ppp/p1q1pn2/2P1N3/8/3B4/P1P1QPPP/R4RK1 b - - 1 16,c6g2,658
005Ep,5kr1/ppR3p1/3R3p/1n6/1r6/8/1P3PPP/2K5 w - - 5 32,d6d8,723
005x9,r1b1kb1Q/ppp4p/6pB/3P4/2pn4/8/PPP1qPPP/RNK4R b q - 3 13,e2c2,733
00656,7r/ppp2kp1/2nb1pp1/3p3r/3P2P1/2PQB3/PP3PP1/R3R1K1 b - - 0 18,h5h1,665
007AH,3r1n2/1bp1bkpp/p1q2n2/1p6/3P4/P1N3B1/1PP1QPPP/R3R1K1 b - - 6 18,c6g2,626
007c6,2kr3r/p2n2pp/2pB1bp1/5q2/2B5/8/PPP2PPP/3R1RK1 w - - 0 18,c4a6,721
0082f,r4rk1/2q2ppp/3pp3/4Pb1N/1p6/1p4Q1/PPP3PP/1K1RR3 w - - 0 22,g3g7,878
008cl,r3k2r/ppp2p1p/2n1pp2/7q/2PN2P1/2BP2b1/PP2B1P1/R2Q1RK1 b kq - 0 16,h5h2,876
008rw,rn2kb1r/pp2pp1p/2p2np1/4q3/8/2N4Q/PPPPBPPP/R1B1K2R w KQkq - 0 9,h3c8,895
009L0,6k1/pb2r1pN/1n4Bp/3p4/1P2pR2/P7/5PPP/2rR2K1 b - - 3 30,c1d1,706
009YT,rqnr2k1/5ppp/p7/4p3/8/1P5P/PBP2PP1/R2R2K1 w - - 0 24,d1d8,687
009fH,rn2kb1r/pQ2pppp/2p2n2/8/3q2b1/8/PPP2PPP/RNB1KBNR b KQkq - 0 7,d4d1,750
00A9Q,2rq1rk1/1p3p1p/p1pn2p1/P1Np4/1P1PnP2/4P3/5PBP/R1Q3RK b - - 3 22,e4f2,689
00AGs,rn5Q/4kp2/2p1p1r1/1q4p1/8/8/4NPPP/3R1K1R w - - 6 24,h8d8,898
00B2k,r4rk1/pbp3pp/1p1pp3/6B1/2PPp2q/3BP2P/PP3P2/R2QK1R1 b Q - 0 16,h4f2,828
00BQD,4r3/3R1pkp/6p1/1P6/1b6/5B2/1P1R1PPP/6K1 b - - 0 36,e8e1,740
00C7m,8/5k2/1P4RK/6P1/1r6/8/8/8 b - - 2 58,b4h4,745
00CYP,3r1k1r/p1p2pp1/1p6/2pQ1b2/2Pn1P2/8/PP1P1KBq/R1B1R3 w - - 4 26,d5d8,672
00DAs,r6r/ppp1n1p1/3bBk1p/4nP2/3p4/8/PPPN1P1P/R1B1K2R w KQ - 2 16,d2e4,649
00DPQ,2k4r/pp3pp1/4pn2/2np2p1/8/1B1P1Pq1/PPPN3R/R2Q3K b - - 7 20,g3h2,765
00EDa,r1bk3r/ppp1np1p/3P2pP/1N4q1/2BP1n2/8/PPP3P1/R1BQ2KR b - - 0 14,g5g2,838
00ERL,4r1k1/2Q4p/pp6/2p2n2/P2P1P1q/2P4P/2PB2b1/4R1K1 w - - 0 30,e1e8,779
00EWi,8/8/5pkp/1RP5/1P3PKP/r7/8/8 b - - 0 48,f6f5,885
00EdH,r4rk1/pb3ppp/1p2p3/3q4/3N4/2P4P/PPQ2PP1/R4RK1 b - - 2 18,d5g2,633
00Elq,rn3q1r/4pk2/2pp1npp/p5Q1/1p1PPNP1/5P2/PPP5/R4KNR w - - 0 18,g5g6,776
00Enl,2kr4/1pp5/p1b4R/2PpP3/3B2p1/2P1Q1Pp/PPq4P/5RK1 b - - 0 27,c2g2,831
00FaB,2k2bn1/ppp2Nrp/2b1p3/3q2BQ/8/2N5/PP3PPP/R4RK1 b - - 6 18,d5g2,668
00FjB,rnbk1r2/pppp1Bpp/8/5p2/4p3/2PP4/P1P2PPP/R1B1K2R w KQ - 1 14,c1g5,878
00Flp,r2q1rk1/ppp2ppp/2n5/3p2N1/3P4/1B5P/P1Q2PP1/R1B2bK1 w - - 0 17,c2h7,645
00H9n,7k/6p1/8/4p3/Pp1Q4/1P3b1q/6P1/5RK1 b - - 0 45,h3g2,893
00HHN,4r2k/p4R1p/1p6/2p5/2P5/1P4R1/r5PP/2K5 b - - 1 32,e8e1,887
00HPz,6r1/7p/2pk1p2/P2p4/P2KbP2/2N1P3/5R1P/8 b - - 2 35,c6c5,707
00Hfa,6k1/5ppp/5Bq1/8/p3R3/P6P/5rB1/R5K1 w - - 0 30,e4e8,677
00HnR,q5kr/p4p2/4b1p1/4B2p/5n2/2P5/P1Q2PPP/3R1RK1 b - - 0 21,a8g2,794
00KgR,7k/1pq3p1/2p2r1p/3pPQ2/1p1P4/7P/1rB4K/5R2 w - - 0 36,f5h7,782
00LUZ,rnb1k1nr/1ppp1ppp/8/p1bPp3/4P2q/2PB1N2/PP3PPP/RNBQK2R b KQkq - 4 6,h4f2,702
00LWX,2r4k/5p2/4pNp1/6Pp/qQ5P/7r/2P5/1RKN4 b - - 3 37,c8c2,797
00LWa,2r3k1/5ppp/2P5/8/5P2/P5Pn/6BP/R5RK b - - 0 32,h3f2,821
00NiV,rn2qrk1/ppp2N2/3pPpp1/3n4/6b1/8/P1QN1PPP/R4RK1 w - - 0 19,c2g6,686
00O2z,r6r/2pk1ppp/p1np4/1pbBpN1q/4P1b1/5NK1/PPPP1PR1/R1BQ4 b - - 13 18,h5h3,742
00OPk,6rk/7p/R2N3P/3r4/1P5K/P7/8/8 w - - 5 51,d6f7,809
00OXc,8/5K1p/1p5k/6p1/3brp2/5R2/8/8 w - - 0 51,f3h3,841
00Ozz,3kr3/3n1B1p/2pP4/p1n5/Ppp5/8/1P3PPP/4R1K1 w - - 0 33,e1e8,865
